CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
ASIST000016,IST,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES PARA LOS TRABAJADORES DEL ESTADO,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,HG AGUASCALIENTES,21.901974,-102.307437,
ASSSA000025,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,CENTENARIO HOSPITAL MIGUEL HIDALGO,21.875724,-102.296401,
ASSSA000030,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,HOSPITAL GENERAL TERCER MILENIO,21.85606,-102.25563,
ASSSA000042,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,HOSPITAL DE LA MUJER,21.8568,-102.25279,
ASSSA000404,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,003,CALVILLO,0001,CALVILLO,HOSPITAL GENERAL CALVILLO,21.8485,-102.7034,
ASSSA000614,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,006,PABELLON DE ARTEAGA,0001,PABELLON DE ARTEAGA,HOSPITAL GENERAL PABELLÓN DE ARTEAGA,22.14987,-102.27952,
ASSSA000655,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,007,RINCON DE ROMOS,0001,RINCON DE ROMOS,HOSPITAL GENERAL RINCÓN DE ROMOS,22.2248,-102.3213,
ASSSA001331,SSA,SECRETARIA DE SALUD,01,AGUASCALIENTES,001,AGUASCALIENTES,0001,AGUASCALIENTES,CENTENARIO HOSPITAL MIGUEL HIDALGO,21.8947,-102.2831,
BCSME000024,SME,SERVICIOS MEDICOS ESTATALES,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,HOSPITAL ISSSTECALI MEXICALI,32.633369,-115.471421,
BCSME000041,SME,SERVICIOS MEDICOS ESTATALES,02,BAJA CALIFORNIA,004,TIJUANA,0001,TIJUANA,HOSPITAL ISSSTECALI TIJUANA,32.530442,-117.092097,
BCSME000065,SME,SERVICIOS MEDICOS ESTATALES,02,BAJA CALIFORNIA,001,ENSENADA,0001,ENSENADA,HOSPITAL ISSSTECALI ENSENADA,31.851613,-116.614659,
BCSSA000015,SSA,SECRETARIA DE SALUD,02,BAJA CALIFORNIA,001,ENSENADA,0001,ENSENADA,HOSPITAL GENERAL DE ENSENADA,31.825117,-116.600282,
BCSSA000440,SSA,SECRETARIA DE SALUD,02,BAJA CALIFORNIA,002,MEXICALI,0001,MEXICALI,HOSPITAL GENERAL DE MEXICALI,32.644334,-115.476271,
BCSSA000855,SSA,SECRETARIA DE SALUD,02,BAJA CALIFORNIA,003,TECATE,0001,TECATE,HOSPITAL GENERAL DE TECATE,32.5575292,-116.6319713,
