id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,1,1,Aguascalientes,948990,3595,3.788238021
2,1,2,Asientos,46492,39,0.838853996
3,1,3,Calvillo,58250,209,3.587982833
4,1,4,Cosío,15373,11,0.715540233
5,1,5,Jesús María,129929,668,5.141269463
6,1,6,Pabellón de Arteaga,42600,215,5.046948357
7,1,7,Rincón de Romos,49156,257,5.228252909
8,1,8,San José de Gracia,9443,17,1.800275336
9,1,9,Tepezalá,20100,18,0.895522388
10,1,10,El Llano,19242,16,0.831514396
11,1,11,San Francisco de los Romo,61997,21,0.338726067
8888,8888,8888,No Disponible,0,21,0
9999,9999,9999,Total Nayarit,1401572,5087,3.629496023
