id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,07,001,Acacoyagua,17994,15,0.833611204
2,07,002,Acala,21187,73,3.445509039
3,07,003,Acapetahua,26899,29,1.078106993
4,07,004,Altamirano,36160,54,1.493362832
5,07,005,Amatán,24512,54,2.203002611
6,07,006,Amatenango de la Frontera,31735,30,0.945328502
7,07,007,Amatenango del Valle,11283,5,0.443144554
8,07,008,Ángel Albino Corzo,31947,44,1.377281122
9,07,009,Arriaga,41135,147,3.573599125
10,07,010,Bejucal de Ocampo,7365,12,1.629327902
11,07,011,Bella Vista,20157,19,0.942600585
12,07,012,Berriozábal,64632,72,1.113999257
13,07,013,Bochil,37263,63,1.69068513
14,07,014,El Bosque,24273,21,0.865158818
15,07,015,Cacahoatán,50112,48,0.957854406
16,07,016,Catazajá,17619,20,1.135138203
17,07,017,Cintalapa,88106,91,1.032846798
18,07,018,Coapilla,9900,22,2.222222222
19,07,019,Comitán de Domínguez,166178,831,5.000661941
20,07,020,La Concordia,49920,33,0.661057692
21,07,021,Copainalá,22192,31,1.396899784
22,07,022,Chalchihuitán,21915,41,1.870864705
23,07,023,Chamula,101967,96,0.941481067
24,07,024,Chanal,13678,23,1.681532388
25,07,025,Chapultenango,7472,21,2.810492505
26,07,026,Chenalhó,47371,63,1.329927593
27,07,027,Chiapa de Corzo,112075,87,0.776265893
28,07,028,Chiapilla,6156,7,1.137102014
29,07,029,Chicoasén,5402,3,0.55534987
30,07,030,Chicomuselo,36785,44,1.196139731
31,07,031,Chilón,137262,110,0.801387128
32,07,032,Escuintla,30896,37,1.197566028
33,07,033,Francisco León,7245,3,0.414078675
34,07,034,Frontera Comalapa,80897,109,1.347392363
35,07,035,Frontera Hidalgo,14556,11,0.755702116
36,07,036,La Grandeza,7701,4,0.519413063
37,07,037,Huehuetán,36333,27,0.743126084
38,07,038,Huixtán,22975,32,1.392818281
39,07,039,Huitiupán,27893,27,0.967984799
40,07,040,Huixtla,53242,276,5.18387739
41,07,041,La Independencia,46409,45,0.96963951
42,07,042,Ixhuatán,11377,27,2.373209106
43,07,043,Ixtacomitán,10961,11,1.00355807
44,07,044,Ixtapa,28999,20,0.689678954
45,07,045,Ixtapangajoya,6284,9,1.432208784
46,07,046,Jiquipilas,41063,39,0.949760125
47,07,047,Jitotol,24966,26,1.041416326
48,07,048,Juárez,21807,35,1.604989224
49,07,049,Larráinzar,31259,48,1.535557759
50,07,050,La Libertad,5232,11,2.102446483
51,07,051,Mapastepec,46130,106,2.297853891
52,07,052,Las Margaritas,141027,250,1.77271019
53,07,053,Mazapa de Madero,7901,19,2.404758891
54,07,054,Mazatán,28250,30,1.061946903
55,07,055,Metapa,5876,2,0.340367597
56,07,056,Mitontic,13755,12,0.872410033
57,07,057,Motozintla,76398,179,2.342993272
58,07,058,Nicolás Ruiz,4765,11,2.308499475
59,07,059,Ocosingo,234661,343,1.461683024
60,07,060,Ocotepec,14088,18,1.277683135
61,07,061,Ocozocoautla de Espinosa,97397,140,1.437415937
62,07,062,Ostuacán,18469,45,2.436515242
63,07,063,Osumacinta,3983,1,0.251067035
64,07,064,Oxchuc,54932,78,1.419937377
