id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,8,1,Ahumada,14635,13,0.888281517
2,8,2,Aldama,26047,30,1.151764119
3,8,3,Allende,8487,74,8.719217627
4,8,4,Aquiles Serdán,24344,8,0.328623069
5,8,5,Ascensión,25975,2,0.076997113
6,8,6,Bachíniva,6011,5,0.831808351
7,8,7,Balleza,16440,24,1.459854015
8,8,8,Batopilas de Manuel Gómez Morín,11270,6,0.532386868
9,8,9,Bocoyna,23351,92,3.939874095
10,8,10,Buenaventura,25146,5,0.198838782
11,8,11,Camargo,49499,212,4.282914806
12,8,12,Carichí,8795,8,0.909607732
13,8,13,Casas Grandes,11815,1,0.084638172
14,8,14,Coronado,2284,8,3.50262697
15,8,15,Coyame del Sotol,1681,3,1.784651993
16,8,16,La Cruz,3982,4,1.004520342
17,8,17,Cuauhtémoc,180638,621,3.437814856
18,8,18,Cusihuiriachi,5414,4,0.738825268
19,8,19,Chihuahua,937674,3751,4.000324206
20,8,20,Chínipas,8441,12,1.421632508
21,8,21,Delicias,150506,628,4.172591126
22,8,22,Dr. Belisario Domínguez,2911,4,1.374098248
23,8,23,Galeana,5892,0,0
24,8,24,Santa Isabel,3937,7,1.778003556
25,8,25,Gómez Farías,8624,46,5.333951763
26,8,26,Gran Morelos,3209,3,0.934870676
27,8,27,Guachochi,50180,103,2.052610602
28,8,28,Guadalupe,6458,2,0.309693404
29,8,29,Guadalupe y Calvo,50514,102,2.01924219
30,8,30,Guazapares,8998,35,3.889753279
31,8,31,Guerrero,35473,43,1.212189553
32,8,32,Hidalgo del Parral,107061,870,8.126208423
33,8,33,Huejotitán,1049,1,0.953288847
34,8,34,Ignacio Zaragoza,6934,11,1.586385924
35,8,35,Janos,10953,2,0.182598375
36,8,36,Jiménez,40859,84,2.055850608
37,8,37,Juárez,1512450,3110,2.056266323
38,8,38,Julimes,4953,3,0.605693519
39,8,39,López,4025,7,1.739130435
40,8,40,Madera,25144,24,0.954502068
41,8,41,Maguarichi,1921,3,1.561686622
42,8,42,Manuel Benavides,1601,2,1.249219238
43,8,43,Matachí,3104,5,1.610824742
44,8,44,Matamoros,4499,9,2.000444543
45,8,45,Meoqui,44853,21,0.468196107
46,8,46,Morelos,8343,10,1.198609613
47,8,47,Moris,5312,4,0.753012048
48,8,48,Namiquipa,22712,27,1.188798873
49,8,49,Nonoava,2849,8,2.808002808
50,8,50,Nuevo Casas Grandes,65753,208,3.163353763
51,8,51,Ocampo,7546,17,2.252849192
52,8,52,Ojinaga,24534,78,3.179261433
53,8,53,Práxedis G. Guerrero,4799,5,1.041883726
54,8,54,Riva Palacio,8012,1,0.124812781
55,8,55,Rosales,16776,8,0.476871722
56,8,56,Rosario,2235,5,2.237136465
57,8,57,San Francisco de Borja,2290,6,2.620087336
58,8,58,San Francisco de Conchos,2983,2,0.670465974
59,8,59,San Francisco del Oro,4753,11,2.314327793
60,8,60,Santa Bárbara,10427,12,1.150858349
61,8,61,Satevó,3414,4,1.171646163
62,8,62,Saucillo,29862,24,0.803697006
63,8,63,Temósachic,6211,11,1.77105136
64,8,64,El Tule,1869,4,2.140181915
65,8,65,Urique,17043,27,1.584228129
66,8,66,Uruachi,8200,11,1.341463415
67,8,67,Valle de Zaragoza,5105,2,0.391772772
8888,8888,8888,No Disponible,0,280,0
9999,9999,9999,Total Chihuahua,3749065,10773,2.873516463
