id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,5,1,Abasolo,1022,1,0.978473581
2,5,2,Acuña,163058,324,1.987023022
3,5,3,Allende,23056,66,2.86259542
4,5,4,Arteaga,29578,21,0.709987153
5,5,5,Candela,1643,2,1.217285453
6,5,6,Castaños,29128,25,0.858280692
7,5,7,Cuatro Ciénegas,12715,68,5.348014157
8,5,8,Escobedo,3047,6,1.969149984
9,5,9,Francisco I. Madero,59035,196,3.320064369
10,5,10,Frontera,82409,32,0.388307102
11,5,11,General Cepeda,11898,32,2.689527652
12,5,12,Guerrero,1643,2,1.217285453
13,5,13,Hidalgo,1735,1,0.576368876
14,5,14,Jiménez,9502,4,0.420964008
15,5,15,Juárez,1584,3,1.893939394
16,5,16,Lamadrid,1764,2,1.133786848
17,5,17,Matamoros,118337,172,1.453476089
18,5,18,Monclova,237951,1066,4.479913932
19,5,19,Morelos,7928,38,4.793138244
20,5,20,Múzquiz,71627,296,4.13251986
21,5,21,Nadadores,6539,7,1.070500076
22,5,22,Nava,33129,13,0.392405445
23,5,23,Ocampo,9642,12,1.244555072
24,5,24,Parras,44472,196,4.407267494
25,5,25,Piedras Negras,176327,648,3.674990217
26,5,26,Progreso,3239,4,1.234949058
27,5,27,Ramos Arizpe,122243,134,1.096177286
28,5,28,Sabinas,64811,112,1.728101711
29,5,29,Sacramento,2471,9,3.642250101
30,5,30,Saltillo,879958,2191,2.489891563
31,5,31,San Buenaventura,24759,80,3.231148269
32,5,32,San Juan de Sabinas,42260,326,7.714150497
33,5,33,San Pedro,101041,251,2.484140102
34,5,34,Sierra Mojada,6744,8,1.18623962
35,5,35,Torreón,720848,2985,4.140956207
36,5,36,Viesca,20305,17,0.837232209
37,5,37,Villa Unión,6188,6,0.969618617
38,5,38,Zaragoza,13135,22,1.674914351
8888,8888,8888,No Disponible,0,397,0
9999,9999,9999,Total Coahuila,3146771,9775,3.106358868
