id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,10,1,Canatlán,31454,28,0.890188847
2,10,2,Canelas,4321,2,0.46285582
3,10,3,Coneto de Comonfort,4084,4,0.979431929
4,10,4,Cuencamé,34955,63,1.802317265
5,10,5,Durango,688697,2508,3.64165954
6,10,6,General Simón Bolívar,10038,10,0.996214385
7,10,7,Gómez Palacio,372750,1475,3.957075788
8,10,8,Guadalupe Victoria,36695,83,2.261888541
9,10,9,Guanaceví,9869,14,1.418583443
10,10,10,Hidalgo,3843,8,2.081707
11,10,11,Indé,4748,6,1.263689975
12,10,12,Lerdo,163313,222,1.359352899
13,10,13,Mapimí,26932,20,0.74261102
14,10,14,Mezquital,48583,78,1.605499866
15,10,15,Nazas,12894,15,1.163331782
16,10,16,Nombre de Dios,19060,16,0.839454355
17,10,17,Ocampo,8003,26,3.248781707
18,10,18,El Oro,10384,51,4.911402157
19,10,19,Otáez,4924,5,1.015434606
20,10,20,Pánuco de Coronado,12656,12,0.948166877
21,10,21,Peñón Blanco,11118,10,0.899442346
22,10,22,Poanas,25623,11,0.429301799
23,10,23,Pueblo Nuevo,51269,105,2.048021221
24,10,24,Rodeo,12818,61,4.758932751
25,10,25,San Bernardo,2837,2,0.704970039
26,10,26,San Dimas,17333,24,1.384642012
27,10,27,San Juan de Guadalupe,5251,25,4.760997905
28,10,28,San Juan del Río,12013,19,1.581619912
29,10,29,San Luis del Cordero,2103,2,0.951022349
30,10,30,San Pedro del Gallo,1633,3,1.837109614
31,10,31,Santa Clara,6727,8,1.189237402
32,10,32,Santiago Papasquiaro,49207,88,1.788363444
33,10,33,Súchil,6917,18,2.602284227
34,10,34,Tamazula,26300,45,1.711026616
35,10,35,Tepehuanes,11378,14,1.230444718
36,10,36,Tlahualilo,21143,18,0.851345599
37,10,37,Topia,9320,3,0.321888412
38,10,38,Vicente Guerrero,23476,72,3.066962004
39,10,39,Nuevo Ideal,27981,21,0.750509274
8888,8888,8888,No disponible,0,28,0
9999,9999,9999,Total Durango,1832650,5223,2.849971353
