id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,15,001,Acambay de Ruiz Castañeda,67872,128,1.885902876
2,15,002,Acolman,171507,767,4.472120671
3,15,003,Aculco,49266,61,1.23817643
4,15,004,Almoloya de Alquisiras,15333,38,2.478314746
5,15,005,Almoloya de Juárez,174587,110,0.630058366
6,15,006,Almoloya del Río,12694,15,1.181660627
7,15,007,Amanalco,23756,93,3.914800471
8,15,008,Amatepec,25244,58,2.297575662
9,15,009,Amecameca,53441,265,4.958739545
10,15,010,Apaxco,31898,39,1.222647188
11,15,011,Atenco,75984,69,0.908085913
12,15,012,Atizapán,12984,40,3.080714726
13,15,013,Atizapán de Zaragoza,523674,614,1.172485172
14,15,014,Atlacomulco,109384,745,6.810868134
15,15,015,Atlautla,31900,29,0.909090909
16,15,016,Axapusco,29128,243,8.342488327
17,15,017,Ayapango,10053,3,0.298418383
18,15,018,Calimaya,68489,26,0.379623005
19,15,019,Capulhuac,36921,34,0.920885133
20,15,020,Coacalco de Berriozábal,293444,601,2.048090948
21,15,021,Coatepec Harinas,38643,91,2.354889631
22,15,022,Cocotitlán,15107,18,1.191500629
23,15,023,Coyotepec,40885,29,0.709306592
24,15,024,Cuautitlán,178847,549,3.069662896
25,15,025,Chalco,400057,993,2.482146294
26,15,026,Chapa de Mota,31737,45,1.417903394
27,15,027,Chapultepec,12772,11,0.861259004
28,15,028,Chiautla,30045,46,1.531036778
29,15,029,Chicoloapan,200750,63,0.313823163
30,15,030,Chiconcuac,27692,63,2.275025278
31,15,031,Chimalhuacán,705193,776,1.100407973
32,15,032,Donato Guerra,37436,32,0.854792179
33,15,033,Ecatepec de Morelos,1645352,3268,1.986201129
34,15,034,Ecatzingo,10827,15,1.385425326
35,15,035,Huehuetoca,163244,106,0.649334738
36,15,036,Hueypoxtla,46757,121,2.587847809
37,15,037,Huixquilucan,284965,174,0.610601302
38,15,038,Isidro Fabela,11929,19,1.592757146
39,15,039,Ixtapaluca,542211,1398,2.578332052
40,15,040,Ixtapan de la Sal,36911,199,5.391346753
41,15,041,Ixtapan del Oro,6475,18,2.77992278
42,15,042,Ixtlahuaca,160139,339,2.116910934
43,15,043,Xalatlaco,30687,77,2.509205853
44,15,044,Jaltenco,28217,37,1.311266258
45,15,045,Jilotepec,87671,265,3.022664279
46,15,046,Jilotzingo,19877,24,1.207425668
47,15,047,Jiquipilco,76826,116,1.509905501
48,15,048,Jocotitlán,69264,58,0.837375837
49,15,049,Joquicingo,15428,19,1.231527094
