id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,11,1,Abasolo,92040,121,1.314645806
2,11,2,Acámbaro,108697,396,3.643154825
3,11,3,San Miguel de Allende,174615,301,1.723792343
4,11,4,Apaseo el Alto,63392,96,1.514386673
5,11,5,Apaseo el Grande,117883,120,1.017958484
6,11,6,Atarjea,5296,16,3.021148036
7,11,7,Celaya,521169,1783,3.421155134
8,11,8,Manuel Doblado,41240,86,2.085354025
9,11,9,Comonfort,82216,110,1.337939087
10,11,10,Coroneo,11083,31,2.797076604
11,11,11,Cortazar,97928,129,1.317294339
12,11,12,Cuerámaro,30857,14,0.453705804
13,11,13,Doctor Mora,27390,30,1.095290252
14,11,14,Dolores Hidalgo,163038,230,1.410714067
15,11,15,Guanajuato,194500,492,2.529562982
16,11,16,Huanímaro,21128,35,1.656569481
17,11,17,Irapuato,592953,1239,2.089541667
18,11,18,Jaral del Progreso,38782,88,2.26909391
19,11,19,Jerécuaro,49517,103,2.080093705
20,11,20,León,1721215,6206,3.605592561
21,11,21,Moroleón,47261,140,2.962273333
22,11,22,Ocampo,26383,41,1.554031005
23,11,23,Pénjamo,154960,330,2.129581828
24,11,24,Pueblo Nuevo,12403,9,0.725630896
25,11,25,Purísima del Rincón,83482,142,1.700965478
26,11,26,Romita,65766,97,1.474926254
27,11,27,Salamanca,273417,798,2.918618813
28,11,28,Salvatierra,94126,253,2.68788645
29,11,29,San Diego de la Unión,41054,58,1.41277342
30,11,30,San Felipe,119793,120,1.001727981
31,11,31,San Francisco del Rincón,130871,234,1.788020264
32,11,32,San José Iturbide,89558,193,2.155028027
33,11,33,San Luis de la Paz,128536,363,2.824111533
34,11,34,Santa Catarina,5723,22,3.84413769
35,11,35,Santa Cruz de Juventino Rosas,82340,83,1.008015545
36,11,36,Santiago Maravatío,6714,21,3.127792672
37,11,37,Silao de la Victoria,203556,377,1.852070192
38,11,38,Tarandacuao,11304,35,3.096249115
39,11,39,Tarimoro,35905,74,2.06099429
40,11,40,Tierra Blanca,20007,30,1.499475184
41,11,41,Uriangato,61494,185,3.008423586
42,11,42,Valle de Santiago,150054,277,1.846002106
43,11,43,Victoria,21253,29,1.364513245
44,11,44,Villagrán,65791,98,1.489565442
45,11,45,Xichú,11143,30,2.692273176
46,11,46,Yuriria,68741,115,1.672946277
8888,8888,8888,No Disponible,0,362,0
9999,9999,9999,Total Guanajuato,6166574,16142,2.617660957
