id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,12,1,Acapulco de Juárez,779566,3250,4.168986333
2,12,2,Ahuacuotzingo,25205,38,1.507637374
3,12,3,Ajuchitlán del Progreso,37655,54,1.4340725
4,12,4,Alcozauca de Guerrero,21225,38,1.790341578
5,12,5,Alpoyeca,7813,4,0.511967234
6,12,6,Apaxtla,11112,9,0.809935205
7,12,7,Arcelia,33267,48,1.442871314
8,12,8,Atenango del Río,9147,7,0.765278233
9,12,9,Atlamajalcingo del Monte,5811,9,1.548786784
10,12,10,Atlixtac,28491,26,0.912568881
11,12,11,Atoyac de Álvarez,60680,117,1.92814766
12,12,12,Ayutla de los Libres,69123,128,1.85177148
13,12,13,Azoyú,15099,28,1.854427446
14,12,14,Benito Juárez,15442,13,0.841859863
15,12,15,Buenavista de Cuéllar,12982,3,0.2310892
16,12,16,Coahuayutla de José María Izazaga,12408,25,2.014829142
17,12,17,Cocula,15579,11,0.706078696
18,12,18,Copala,14463,38,2.62739404
19,12,19,Copalillo,15598,7,0.448775484
20,12,20,Copanatoyac,21648,30,1.385809313
21,12,21,Coyuca de Benítez,73056,102,1.396189225
22,12,22,Coyuca de Catalán,38554,203,5.265342118
23,12,23,Cuajinicuilapa,26627,47,1.765125624
24,12,24,Cualác,7874,16,2.032004064
25,12,25,Cuautepec,17024,22,1.292293233
26,12,26,Cuetzala del Progreso,8272,5,0.604448743
27,12,27,Cutzamala de Pinzón,20537,32,1.558163315
28,12,28,Chilapa de Álvarez,123722,516,4.17064063
29,12,29,Chilpancingo de los Bravo,283354,1001,3.532683498
30,12,30,Florencio Villarreal,22250,24,1.078651685
31,12,31,General Canuto A. Neri,6278,4,0.637145588
32,12,32,General Heliodoro Castillo,37254,42,1.127395716
33,12,33,Huamuxtitlán,17488,45,2.573193047
34,12,34,Huitzuco de los Figueroa,36593,119,3.251988085
35,12,35,Iguala de la Independencia,154173,560,3.632283214
36,12,36,Igualapa,11739,32,2.725956214
37,12,37,Ixcateopan de Cuauhtémoc,6138,4,0.651678071
38,12,38,Zihuatanejo de Azueta,126001,337,2.674581948
39,12,39,Juan R. Escudero,26093,26,0.996435826
40,12,40,Leonardo Bravo,26357,48,1.821148082
41,12,41,Malinaltepec,29695,33,1.111298198
42,12,42,Mártir de Cuilapan,18613,27,1.450599044
43,12,43,Metlatónoc,18859,33,1.749827668
44,12,44,Mochitlán,12402,25,2.015803903
45,12,45,Olinalá,28446,35,1.230401462
46,12,46,Ometepec,68207,383,5.615259431
47,12,47,Pedro Ascencio Alquisiras,7076,8,1.13058225
48,12,48,Petatlán,44583,58,1.300944306
49,12,49,Pilcaya,12753,7,0.548890457
50,12,50,Pungarabato,38482,86,2.234811081
51,12,51,Quechultenango,36143,63,1.743076114
52,12,52,San Luis Acatlán,46270,78,1.68575751
53,12,53,San Marcos,50124,65,1.296783976
54,12,54,San Miguel Totolapan,24139,38,1.574215999
55,12,55,Taxco de Alarcón,105586,387,3.665258652
56,12,56,Tecoanapa,46063,57,1.237435686
57,12,57,Técpan de Galeana,65237,82,1.256955409
58,12,58,Teloloapan,53817,48,0.891911478
59,12,59,Tepecoacuilco de Trujano,30806,52,1.68798286
60,12,60,Tetipac,13552,3,0.22136954
61,12,61,Tixtla de Guerrero,43171,70,1.62145885
62,12,62,Tlacoachistlahuaca,22781,33,1.448575567
63,12,63,Tlacoapa,10092,27,2.675386445
64,12,64,Tlalchapa,11681,21,1.797791285
65,12,65,Tlalixtaquilla de Maldonado,7602,20,2.630886609
66,12,66,Tlapa de Comonfort,96125,336,3.495448635
67,12,67,Tlapehuala,22209,61,2.746634247
68,12,68,La Unión de Isidoro Montes de Oca,26349,98,3.719306236
69,12,69,Xalpatláhuac,11966,25,2.089252883
70,12,70,Xochihuehuetlán,7079,25,3.531572256
71,12,71,Xochistlahuaca,29891,45,1.505469874
72,12,72,Zapotitlán Tablas,12004,25,2.08263912
73,12,73,Zirándaro,18031,24,1.331040985
74,12,74,Zitlala,21977,22,1.001046549
75,12,75,Eduardo Neri,53126,635,11.95271618
76,12,76,Acatepec,40197,40,0.995099137
77,12,77,Marquelia,14280,33,2.31092437
78,12,78,Cochoapa el Grande,21241,17,0.800338967
79,12,79,José Joaquín de Herrera,18381,23,1.251292095
80,12,80,Juchitán,7559,8,1.05834105
81,12,81,Iliatenco,11679,20,1.712475383
82,12,82,Las Vigas,9449,10,1.058313049
83,12,83,San Nicolás,6948,5,0.719631549
84,12,84,Ñuu Savi,11099,6,0.540589242
85,12,85,Santa Cruz del Rincón,6851,7,1.02174865
8888,8888,8888,No disponible,0,238,0
9999,9999,9999,Total Guerrero,3574319,10510,2.940420259
