id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,14,1,Acatic,23175,14,0.604099245
2,14,2,Acatlán de Juárez,25250,11,0.435643564
3,14,3,Ahualulco de Mercado,23630,13,0.550148117
4,14,4,Amacueca,5743,12,2.089500261
5,14,5,Amatitán,16490,8,0.485142511
6,14,6,Ameca,60386,147,2.434339085
7,14,7,San Juanito de Escobedo,9433,11,1.166118944
8,14,8,Arandas,80609,40,0.496222506
9,14,9,El Arenal,17545,11,0.626959248
10,14,10,Atemajac de Brizuela,7758,12,1.54679041
11,14,11,Atengo,5599,3,0.535809966
12,14,12,Atenguillo,4176,8,1.915708812
13,14,13,Atotonilco el Alto,64009,91,1.421675077
14,14,14,Atoyac,8689,21,2.416848889
15,14,15,Autlán de Navarro,64931,264,4.065854522
16,14,16,Ayotlán,41552,25,0.601655757
17,14,17,Ayutla,12880,15,1.164596273
18,14,18,La Barca,67937,244,3.591562771
19,14,19,Bolaños,7043,18,2.555729093
20,14,20,Cabo Corrientes,10940,11,1.005484461
21,14,21,Casimiro Castillo,20548,38,1.849328402
22,14,22,Cihuatlán,40139,76,1.893420364
23,14,23,Zapotlán el Grande,115141,541,4.69858695
24,14,24,Cocula,29267,105,3.587658455
25,14,25,Colotlán,19689,130,6.602671542
26,14,26,Concepción de Buenos Aires,6334,11,1.736659299
27,14,27,Cuautitlán de García Barragán,18370,27,1.469787697
28,14,28,Cuautla,2166,3,1.385041551
29,14,29,Cuquío,17820,21,1.178451178
30,14,30,Chapala,55196,14,0.253641568
31,14,31,Chimaltitán,3270,8,2.44648318
32,14,32,Chiquilistlán,5983,5,0.835701153
33,14,33,Degollado,21226,16,0.753792519
34,14,34,Ejutla,1981,3,1.514386673
35,14,35,Encarnación de Díaz,53039,54,1.018118743
36,14,36,Etzatlán,20011,12,0.599670181
37,14,37,El Grullo,25920,68,2.62345679
38,14,38,Guachinango,4199,5,1.190759705
39,14,39,Guadalajara,1385629,11167,8.059155806
40,14,40,Hostotipaquillo,8732,10,1.14521301
41,14,41,Huejúcar,5920,12,2.027027027
42,14,42,Huejuquilla el Alto,10015,58,5.79131303
43,14,43,La Huerta,23258,48,2.063806002
44,14,44,Ixtlahuacán de los Membrillos,67969,39,0.573790993
45,14,45,Ixtlahuacán del Río,20465,22,1.075006108
46,14,46,Jalostotitlán,32678,18,0.550829304
47,14,47,Jamay,24894,19,0.763236121
48,14,48,Jesús María,18982,13,0.68485934
49,14,49,Jilotlán de los Dolores,9425,13,1.379310345
50,14,50,Jocotepec,47105,72,1.528500159
51,14,51,Juanacatlán,30855,9,0.291686923
52,14,52,Juchitlán,5534,1,0.18070112
53,14,53,Lagos de Moreno,172403,699,4.054453809
54,14,54,El Limón,5368,7,1.304023845
55,14,55,Magdalena,21781,95,4.361599559
56,14,56,Santa María del Oro,2517,3,1.191895113
57,14,57,La Manzanilla de la Paz,4099,4,0.975847768
58,14,58,Mascota,14451,52,3.598366895
59,14,59,Mazamitla,14043,34,2.421135085
60,14,60,Mexticacán,5307,7,1.319012625
61,14,61,Mezquitic,22083,45,2.037766608
62,14,62,Mixtlán,3638,4,1.099505223
63,14,63,Ocotlán,106050,303,2.857142857
64,14,64,Ojuelos de Jalisco,33588,55,1.63748958
65,14,65,Pihuamo,11386,7,0.614790093
66,14,66,Poncitlán,53659,41,0.76408431
67,14,67,Puerto Vallarta,291839,942,3.227807113
68,14,68,Villa Purificación,11303,16,1.415553393
69,14,69,Quitupan,7734,15,1.939487975
70,14,70,El Salto,232852,25,0.107364334
71,14,71,San Cristóbal de la Barranca,2924,6,2.051983584
72,14,72,San Diego de Alejandría,7609,8,1.051386516
73,14,73,San Juan de los Lagos,72230,85,1.176796345
74,14,74,San Julián,16792,13,0.77417818
75,14,75,San Marcos,3791,4,1.055130572
76,14,76,San Martín de Bolaños,3095,9,2.907915994
77,14,77,San Martín Hidalgo,28102,29,1.031955021
78,14,78,San Miguel el Alto,31965,55,1.720631941
79,14,79,Gómez Farías,16431,13,0.79118739
80,14,80,San Sebastián del Oeste,5086,7,1.376327173
81,14,81,Santa María de los Ángeles,3515,8,2.275960171
82,14,82,Sayula,37186,72,1.936212553
83,14,83,Tala,87690,346,3.94571787
84,14,84,Talpa de Allende,14997,19,1.266920051
85,14,85,Tamazula de Gordiano,38955,111,2.849441663
86,14,86,Tapalpa,21245,4,0.188279595
87,14,87,Tecalitlán,16705,19,1.137384017
88,14,88,Techaluta de Montenegro,4072,5,1.227897839
89,14,89,Tecolotlán,16603,20,1.204601578
90,14,90,Tenamaxtlán,7302,7,0.958641468
91,14,91,Teocaltiche,39839,52,1.305253646
92,14,92,Teocuitatlán de Corona,11039,11,0.996467071
93,14,93,Tepatitlán de Morelos,150190,448,2.982888341
94,14,94,Tequila,44353,14,0.315649449
95,14,95,Teuchitlán,9647,7,0.725614181
96,14,96,Tizapán el Alto,22758,14,0.615168292
