id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,16,1,Acuitzio,11301,8,0.707901956
2,16,2,Aguililla,14754,16,1.084451674
3,16,3,Álvaro Obregón,23000,16,0.695652174
4,16,4,Angamacutiro,14943,13,0.869972562
5,16,5,Angangueo,10892,10,0.918105031
6,16,6,Apatzingán,126191,296,2.345650641
7,16,7,Aporo,3529,6,1.700198356
8,16,8,Aquila,24676,46,1.864159507
9,16,9,Ario,36268,92,2.536671446
10,16,10,Arteaga,20332,37,1.819791462
11,16,11,Briseñas,11681,8,0.68487287
12,16,12,Buenavista,45538,90,1.976371382
13,16,13,Carácuaro,9176,15,1.634699215
14,16,14,Coahuayana,17022,24,1.409940078
15,16,15,Coalcomán de Vázquez Pallares,19633,51,2.597667193
16,16,16,Coeneo,20965,16,0.763176723
17,16,17,Contepec,35070,18,0.513259196
18,16,18,Copándaro,9484,6,0.632644454
19,16,19,Cotija,20198,12,0.59411823
20,16,20,Cuitzeo,29910,13,0.434637245
21,16,21,Charapan,13539,12,0.886328385
22,16,22,Charo,25138,865,34.41005649
23,16,23,Chavinda,10417,8,0.767975425
24,16,24,Cherán,20586,85,4.129019722
25,16,25,Chilchota,40560,34,0.8382643
26,16,26,Chinicuila,4773,10,2.095118374
27,16,27,Chucándiro,4944,7,1.415857605
28,16,28,Churintzio,5233,6,1.146569845
29,16,29,Churumuco,12342,13,1.053313888
30,16,30,Ecuandureo,11850,6,0.506329114
31,16,31,Epitacio Huerta,16112,9,0.558589871
32,16,32,Erongarícuaro,15715,10,0.636334712
33,16,33,Gabriel Zamora,21466,17,0.791950061
34,16,34,Hidalgo,125712,152,1.209112893
35,16,35,La Huacana,30627,50,1.632546446
36,16,36,Huandacareo,11644,5,0.429405703
37,16,37,Huaniqueo,7945,9,1.132787917
38,16,38,Huetamo,41973,110,2.620732376
39,16,39,Huiramba,9015,11,1.220188575
40,16,40,Indaparapeo,18385,9,0.489529508
41,16,41,Irimbo,16043,15,0.934987222
42,16,42,Ixtlán,14302,8,0.559362327
43,16,43,Jacona,68781,22,0.319855774
44,16,44,Jiménez,12946,13,1.004171173
45,16,45,Jiquilpan,36158,32,0.885004702
46,16,46,Juárez,14936,4,0.26780932
47,16,47,Jungapeo,19834,18,0.90753252
48,16,48,Lagunillas,5745,6,1.044386423
49,16,49,Madero,19086,16,0.838310804
50,16,50,Maravatío,89311,101,1.130879735
51,16,51,Marcos Castellanos,13983,6,0.429092469
52,16,52,Lázaro Cárdenas,196003,568,2.897914828
53,16,53,Morelia,849053,2867,3.376703221
54,16,54,Morelos,7983,6,0.751597144
55,16,55,Múgica,45732,81,1.771188664
56,16,56,Nahuatzen,32598,34,1.043008774
57,16,57,Nocupétaro,8196,45,5.490483163
58,16,58,Nuevo Parangaricutiro,20981,3,0.142986512
59,16,59,Nuevo Urecho,9027,10,1.107787748
60,16,60,Numarán,9437,7,0.741761153
61,16,61,Ocampo,24774,12,0.484378784
62,16,62,Pajacuarán,21028,21,0.998668442
63,16,63,Panindícuaro,14889,9,0.604473101
64,16,64,Parácuaro,26832,23,0.85718545
65,16,65,Paracho,39657,97,2.445974229
66,16,66,Pátzcuaro,98382,217,2.205688032
67,16,67,Penjamillo,16621,16,0.962637627
68,16,68,Peribán,29389,13,0.442342373
69,16,69,La Piedad,106490,251,2.357028829
70,16,70,Purépero,15503,14,0.903051022
71,16,71,Puruándiro,69260,78,1.126191164
72,16,72,Queréndaro,13961,10,0.716281069
73,16,73,Quiroga,27176,9,0.331174566
74,16,74,Cojumatlán de Régules,10553,5,0.47379892
75,16,75,Los Reyes,78935,170,2.153670742
76,16,76,Sahuayo,78477,143,1.822189941
77,16,77,San Lucas,17677,20,1.131413701
78,16,78,Santa Ana Maya,12812,13,1.014673743
79,16,79,Salvador Escalante,49896,21,0.420875421
80,16,80,Senguio,19833,15,0.756315232
81,16,81,Susupuato,9076,6,0.661084178
82,16,82,Tacámbaro,79540,119,1.49610259
83,16,83,Tancítaro,33453,16,0.478282964
