id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,17,001,Amacuzac,17598,18,1.022843505
2,17,002,Atlatlahucan,25232,10,0.396322131
3,17,003,Axochiapan,39174,122,3.114310512
4,17,004,Ayala,89834,56,0.623371997
5,17,005,Coatlán del Río,10520,18,1.711026616
6,17,006,Cuautla,187118,861,4.601374534
7,17,007,Cuernavaca,378476,1727,4.563037022
8,17,008,Emiliano Zapata,107053,500,4.67058373
9,17,009,Huitzilac,24515,15,0.611870283
10,17,010,Jantetelco,18402,19,1.032496468
11,17,011,Jiutepec,215357,84,0.39005001
12,17,012,Jojutla,57682,372,6.449152249
13,17,013,Jonacatepec,16694,53,3.174793339
14,17,014,Mazatepec,9653,6,0.621568424
15,17,015,Miacatlán,15802,14,0.885963802
16,17,016,Ocuituco,19219,43,2.23736927
17,17,017,Puente de Ixtla,40018,76,1.899145385
18,17,018,Temixco,122263,141,1.153251597
19,17,019,Tepalcingo,28122,29,1.031221108
20,17,020,Tepoztlán,54987,39,0.709258552
21,17,021,Tetecala,7617,103,13.52238414
22,17,022,Tetela del Volcán,14853,20,1.346529321
23,17,023,Tlalnepantla,7943,3,0.377691049
24,17,024,Tlaltizapán de Zapata,52399,45,0.858795015
25,17,025,Tlaquiltenango,33789,39,1.154221788
26,17,026,Tlayacapan,19408,24,1.236603462
27,17,027,Totolapan,12750,8,0.62745098
28,17,028,Xochitepec,73539,30,0.407946804
29,17,029,Yautepec,105780,184,1.739459255
30,17,030,Yecapixtla,56083,23,0.410106449
31,17,031,Zacatepec,36094,237,6.566188286
32,17,032,Zacualpan de Amilpas,9965,4,0.401404917
33,17,033,Temoac,16574,9,0.543019187
34,17,034,Coatetelco,11347,5,0.440645104
35,17,035,Xoxocotla,27805,25,0.899118864
36,17,036,Hueyapan,7855,1,0.127307447
8888,8888,8888,No Disponible,0,147,0
9999,9999,9999,Total Morelos,1971520,5110,2.591908781
