id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,19,1,Abasolo,2974,1,0.336247478
2,19,2,Agualeguas,3382,2,0.591366056
3,19,3,Los Aldamas,1407,0,0
4,19,4,Allende,35289,29,0.821785826
5,19,5,Anáhuac,18030,20,1.109262341
6,19,6,Apodaca,656464,637,0.97035024
7,19,7,Aramberri,14992,16,1.067235859
8,19,8,Bustamante,3661,0,0
9,19,9,Cadereyta Jiménez,122337,135,1.103509159
10,19,10,El Carmen,104478,13,0.124428109
11,19,11,Cerralvo,7340,55,7.493188011
12,19,12,Ciénega de Flores,68747,13,0.189099161
13,19,13,China,9930,7,0.704934542
14,19,14,Doctor Arroyo,36088,130,3.602305476
15,19,15,Doctor Coss,1360,1,0.735294118
16,19,16,Doctor González,3256,1,0.307125307
17,19,17,Galeana,40903,116,2.835977801
18,19,18,García,397205,41,0.103221259
19,19,19,San Pedro Garza García,132169,131,0.991155263
20,19,20,General Bravo,5506,2,0.363240102
21,19,21,General Escobedo,481213,63,0.130919156
22,19,22,General Terán,14109,15,1.06315118
23,19,23,General Treviño,1808,0,0
24,19,24,General Zaragoza,6282,2,0.318369946
25,19,25,General Zuazua,102149,11,0.107685831
26,19,26,Guadalupe,643143,1402,2.179919551
27,19,27,Los Herreras,1959,1,0.510464523
28,19,28,Higueras,1386,0,0
29,19,29,Hualahuises,7026,4,0.569313977
30,19,30,Iturbide,3298,2,0.606428138
31,19,31,Juárez,471523,94,0.199354008
32,19,32,Lampazos de Naranjo,5351,6,1.121285741
33,19,33,Linares,84666,203,2.397656674
34,19,34,Marín,5119,1,0.195350654
35,19,35,Melchor Ocampo,1483,1,0.674308833
36,19,36,Mier y Noriega,7652,6,0.78410873
37,19,37,Mina,6048,2,0.330687831
38,19,38,Montemorelos,67428,295,4.375037077
39,19,39,Monterrey,1142994,7477,6.541591644
40,19,40,Parás,906,0,0
41,19,41,Pesquería,147624,27,0.18289709
42,19,42,Los Ramones,5389,2,0.371126369
43,19,43,Rayones,2377,0,0
44,19,44,Sabinas Hidalgo,34709,173,4.984298021
45,19,45,Salinas Victoria,86766,10,0.115252518
46,19,46,San Nicolás de los Garza,412199,1509,3.660853132
47,19,47,Hidalgo,16086,12,0.745990302
48,19,48,Santa Catarina,306622,29,0.094578993
49,19,49,Santiago,46784,46,0.983242134
50,19,50,Vallecillo,1552,0,0
51,19,51,Villaldama,3573,6,1.679261125
8888,8888,8888,No Disponible,0,521,0
9999,9999,9999,Total Nuevo León,5784742,13270,2.293965746
