id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,23,1,Cozumel,88626,203,2.290524225
2,23,2,Felipe Carrillo Puerto,83990,197,2.345517323
3,23,3,Isla Mujeres,19203,37,1.926782274
4,23,4,Othón P. Blanco,244553,1170,4.784238999
5,23,5,Benito Juárez,911503,1786,1.959401121
6,23,6,José María Morelos,36179,96,2.653473009
7,23,7,Lázaro Cárdenas,25333,85,3.355307307
8,23,8,Playa del Carmen,333800,628,1.881366087
9,23,9,Tulum,46721,23,0.492283984
10,23,10,Bacalar,53429,105,1.965224878
11,23,11,Puerto Morelos,26921,20,0.742914453
8888,8888,8888,No Disponible,0,68,0
9999,9999,9999,Total Quintana Roo,1870258,4418,2.362240931
