id,CVE_ENT,estado,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado,enfermeras_administrativas
1,1,Aguascalientes,1425607,5087,3.568304589,856,0.600445985,2956,2.073502726,950,0.666382811,14,0.009820378,261,0.183079909,1,0.000701456,6,0.004208734,
2,2,Baja California,3769020,9424,2.500384715,1678,0.445208569,7282,1.932067222,27,0.007163666,12,0.003183852,219,0.05810529,0,0,1,0.000265321,
3,3,Baja California Sur,798447,2782,3.484263827,536,0.671303167,2140,2.680202944,0,0,3,0.003757294,17,0.021291332,0,0,7,0.008767019,
4,4,Campeche,928363,3361,3.620351091,773,0.832648436,1836,1.977674681,628,0.676459531,31,0.033392111,68,0.07324721,0,0,0,0,
5,5,Coahuila de Zaragoza,3146771,9774,3.106041081,1573,0.499877493,6793,2.158720797,971,0.308570277,1,0.000317786,229,0.072773011,0,0,4,0.001271144,
6,6,Colima,731391,2854,3.902153568,576,0.787540454,2068,2.82748899,85,0.116216907,9,0.01230532,81,0.110747876,1,0.001367258,14,0.019141608,
7,7,Chiapas,5543828,13466,2.429007538,4383,0.790608944,7480,1.349248209,811,0.14628881,21,0.003787996,489,0.0882062,0,0,10,0.001803808,
8,8,Chihuahua,3741869,10773,2.879042532,1704,0.455387401,7463,1.99445785,1135,0.303324355,50,0.013362306,270,0.072156454,0,0,6,0.001603477,
9,9,Ciudad de México,9209944,54803,5.950416202,7288,0.791318601,20851,2.263965992,25804,2.801754278,20,0.002171566,485,0.052660472,153,0.016612479,19,0.002062988,
10,10,Durango,1832650,5223,2.849971353,1061,0.578943061,3841,2.095872098,187,0.102038032,6,0.003273948,66,0.036013423,0,0,0,0,
11,11,Guanajuato,6166934,16140,2.617183839,3502,0.567867274,9518,1.543392551,2868,0.46506092,7,0.001135086,122,0.019782926,0,0,14,0.002270172,
12,12,Guerrero,3540685,10508,2.967787307,3266,0.922420379,6716,1.896808104,55,0.015533717,1,0.000282431,118,0.033326884,8,0.00225945,15,0.004236468,
13,13,Hidalgo,3082841,7441,2.413682704,2258,0.732441277,4734,1.535596549,204,0.066172728,28,0.009082531,139,0.045088281,0,0,5,0.001621881,
14,14,Jalisco,8348151,21848,2.617106471,3834,0.459263375,12171,1.45792763,5265,0.630678578,161,0.019285708,265,0.031743556,0,0,0,0,
15,15,Estado de México,16992418,37157,2.186681142,10413,0.612802722,19906,1.171463649,6035,0.355158401,17,0.001000446,358,0.02106822,158,0.009298265,6,0.000353099,
16,16,Michoacán de Ocampo,4748846,9916,2.088086242,2615,0.550660097,5576,1.174180001,1313,0.276488225,43,0.009054831,198,0.04169434,0,0,4,0.00084231,
17,17,Morelos,1971520,5110,2.591908781,1128,0.572147379,2963,1.502901315,593,0.300783152,8,0.004057783,160,0.081155657,13,0.006593897,4,0.002028891,
18,18,Nayarit,1235456,4373,3.539583765,983,0.795657636,3252,2.632226482,0,0,46,0.037233216,36,0.029139039,0,0,0,0,
19,19,Nuevo León,5784442,13270,2.294084719,2013,0.348002452,7469,1.291222213,3234,0.559085907,47,0.008125244,399,0.068978131,0,0,0,0,
