id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,24,1,Ahualulco,18974,11,0.579740698
2,24,2,Alaquines,7785,7,0.899165061
3,24,3,Aquismón,48359,53,1.095969726
4,24,4,Armadillo de los Infante,4013,6,1.495140792
5,24,5,Cárdenas,18317,9,0.491346836
6,24,6,Catorce,9579,15,1.565925462
7,24,7,Cedral,19840,12,0.60483871
8,24,8,Cerritos,22075,79,3.578708947
9,24,9,Cerro de San Pedro,5050,5,0.99009901
10,24,10,Ciudad del Maíz,30320,27,0.890501319
11,24,11,Ciudad Fernández,48106,23,0.478110839
12,24,12,Tancanhuitz,21039,21,0.9981463
13,24,13,Ciudad Valles,179371,945,5.268410167
14,24,14,Coxcatlán,15660,15,0.957854406
15,24,15,Charcas,21814,64,2.933895663
16,24,16,Ébano,40899,51,1.246974254
17,24,17,Guadalcázar,25119,19,0.756399538
18,24,18,Huehuetlán,15334,7,0.456501891
19,24,19,Lagunillas,5453,7,1.283697047
20,24,20,Matehuala,102199,306,2.994158456
21,24,21,Mexquitic de Carmona,58469,23,0.393370846
22,24,22,Moctezuma,19036,11,0.57785249
23,24,23,Rayón,15301,13,0.849617672
24,24,24,Rioverde,97943,356,3.63476716
25,24,25,Salinas,31107,30,0.964413155
26,24,26,San Antonio,9382,10,1.065870816
27,24,27,San Ciro de Acosta,10215,10,0.978952521
28,24,28,San Luis Potosí,911908,3478,3.813981235
29,24,29,San Martín Chalchicuautla,18464,16,0.866551127
30,24,30,San Nicolás Tolentino,4779,7,1.464741578
31,24,31,Santa Catarina,12163,9,0.739949026
32,24,32,Santa María del Río,39880,25,0.626880642
33,24,33,Santo Domingo,10785,10,0.927213723
34,24,34,San Vicente Tancuayalab,14945,8,0.535296086
35,24,35,Soledad de Graciano Sánchez,332072,391,1.177455492
36,24,36,Tamasopo,29184,21,0.719572368
37,24,37,Tamazunchale,95037,245,2.577943327
38,24,38,Tampacán,14348,12,0.836353499
39,24,39,Tampamolón Corona,13603,18,1.323237521
40,24,40,Tamuín,36968,33,0.892663926
41,24,41,Tanlajás,18208,17,0.933655536
42,24,42,Tanquián de Escobedo,13448,7,0.520523498
43,24,43,Tierra Nueva,7966,11,1.380868692
44,24,44,Vanegas,7557,10,1.323276432
45,24,45,Venado,14188,11,0.775303073
46,24,46,Villa de Arriaga,18206,9,0.494342524
47,24,47,Villa de Guadalupe,9277,10,1.077934677
48,24,48,Villa de la Paz,5298,3,0.566251416
49,24,49,Villa de Ramos,38389,78,2.031832035
50,24,50,Villa de Reyes,52912,31,0.58587844
51,24,51,Villa Hidalgo,15458,11,0.711605641
52,24,52,Villa Juárez,10304,6,0.582298137
53,24,53,Axtla de Terrazas,32544,111,3.410766962
54,24,54,Xilitla,49741,70,1.407289761
55,24,55,Zaragoza,27386,20,0.730300153
56,24,56,Villa de Arista,17258,17,0.985050411
57,24,57,Matlapa,28996,29,1.00013795
58,24,58,El Naranjo,20959,36,1.7176392
59,24,59,Villa de Pozos,148165,0,0
8888,8888,8888,No Disponible,0,470,0
9999,9999,9999,Total San Luis Potosí,2971155,7365,2.478833989
