id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,26,1,Aconchi,2563,1,0.390167772
2,26,2,Agua Prieta,91929,170,1.849253228
3,26,3,Álamos,24976,89,3.563420884
4,26,4,Altar,9492,1,0.105351875
5,26,5,Arivechi,1177,1,0.849617672
6,26,6,Arizpe,2788,2,0.717360115
7,26,7,Átil,626,0,0
8,26,8,Bacadéhuachi,979,2,2.042900919
9,26,9,Bacanora,759,1,1.317523057
10,26,10,Bacerac,1221,1,0.819000819
11,26,11,Bacoachi,1475,0,0
12,26,12,Bácum,23151,8,0.345557427
13,26,13,Banámichi,1825,1,0.547945205
14,26,14,Baviácora,3191,1,0.313381385
15,26,15,Bavispe,1169,1,0.855431993
16,26,16,Benjamín Hill,4988,7,1.403368083
17,26,17,Caborca,89122,234,2.625614326
18,26,18,Cajeme,436484,2179,4.992164661
19,26,19,Cananea,39451,90,2.281310993
20,26,20,Carbó,4946,3,0.606550748
21,26,21,La Colorada,1848,2,1.082251082
22,26,22,Cucurpe,863,1,1.158748552
23,26,23,Cumpas,5829,12,2.058672156
24,26,24,Divisaderos,753,1,1.328021248
25,26,25,Empalme,51431,135,2.624876048
26,26,26,Etchojoa,61309,49,0.799230129
27,26,27,Fronteras,9041,3,0.331821701
28,26,28,Granados,1009,1,0.991080278
29,26,29,Guaymas,156863,500,3.18749482
30,26,30,Hermosillo,936263,4156,4.438923678
31,26,31,Huachinera,1186,1,0.84317032
32,26,32,Huásabas,888,1,1.126126126
33,26,33,Huatabampo,77682,242,3.115264798
34,26,34,Huépac,943,0,0
35,26,35,Ímuris,12536,3,0.239310785
36,26,36,Magdalena,33049,61,1.845744198
37,26,37,Mazatán,1101,0,0
38,26,38,Moctezuma,5173,37,7.152522714
39,26,39,Naco,5774,4,0.692760651
40,26,40,Nácori Chico,1531,3,1.959503592
41,26,41,Nacozari de García,14369,77,5.358758438
42,26,42,Navojoa,164387,527,3.205849611
43,26,43,Nogales,264782,1197,4.520700048
44,26,44,Ónavas,365,0,0
45,26,45,Opodepe,2438,1,0.410172272
46,26,46,Oquitoa,496,0,0
47,26,47,Pitiquito,9122,6,0.657750493
48,26,48,Puerto Peñasco,62689,148,2.360860757
49,26,49,Quiriego,3090,5,1.618122977
50,26,50,Rayón,1496,1,0.668449198
51,26,51,Rosario,4830,6,1.242236025
52,26,52,Sahuaripa,5257,13,2.472893285
53,26,53,San Felipe de Jesús,369,0,0
54,26,54,San Javier,537,0,0
55,26,55,San Luis Río Colorado,199021,421,2.115354661
56,26,56,San Miguel de Horcasitas,10729,10,0.932053313
57,26,57,San Pedro de la Cueva,1458,0,0
58,26,58,Santa Ana,16203,30,1.85150898
59,26,59,Santa Cruz,1835,1,0.544959128
60,26,60,Sáric,2058,0,0
61,26,61,Soyopa,1368,1,0.730994152
62,26,62,Suaqui Grande,1114,1,0.897666068
63,26,63,Tepache,1178,2,1.697792869
64,26,64,Trincheras,1381,2,1.448225923
65,26,65,Tubutama,1473,0,0
66,26,66,Ures,8548,20,2.339728591
67,26,67,Villa Hidalgo,1429,2,1.399580126
68,26,68,Villa Pesqueira,1043,0,0
69,26,69,Yécora,4793,3,0.625912789
70,26,70,General Plutarco Elías Calles,13627,1,0.073383723
71,26,71,Benito Juárez,21692,11,0.507099391
72,26,72,San Ignacio Río Muerto,14279,6,0.420197493
8888,8888,8888,No Disponible,0,538,0
9999,9999,9999,Total Sonora,2944840,11034,3.74689287
