id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,27,001,Balancán,58524,151,2.580138063
2,27,002,Cárdenas,243229,577,2.37225002
3,27,003,Centla,107731,185,1.717240163
4,27,004,Centro,683607,4368,6.389636151
5,27,005,Comalcalco,214877,406,1.889453036
6,27,006,Cunduacán,137257,217,1.580975834
7,27,007,Emiliano Zapata,32181,112,3.480314471
8,27,008,Huimanguillo,190885,252,1.320166592
9,27,009,Jalapa,37749,84,2.225224509
10,27,010,Jalpa de Méndez,91185,107,1.173438614
11,27,011,Jonuta,30798,69,2.240405221
12,27,012,Macuspana,158601,464,2.925580545
13,27,013,Nacajuca,150300,166,1.104457751
14,27,014,Paraíso,96741,172,1.777943168
15,27,015,Tacotalpa,47905,109,2.275336604
16,27,016,Teapa,58718,150,2.554582922
17,27,017,Tenosique,62310,186,2.985074627
8888,8888,8888,No Disponible,0,123,0
9999,9999,9999,Total Tabasco,2402598,7898,3.287274858
