id,CVE_ENT,CVE_MUN,municipio,población,enfermeras,tasa
1,28,001,Abasolo,9822,20,2.036245164
2,28,002,Aldama,28725,48,1.671018277
3,28,003,Altamira,269790,206,0.763556841
4,28,004,Antiguo Morelos,8850,8,0.903954802
5,28,005,Burgos,4256,5,1.17481203
6,28,006,Bustamante,7542,11,1.458499072
7,28,007,Camargo,16546,13,0.785688384
8,28,008,Casas,4143,5,1.206854936
9,28,009,Ciudad Madero,205933,1332,6.468123127
10,28,010,Cruillas,1671,5,2.992220227
11,28,011,Gomez Farías,8288,12,1.447876448
12,28,012,González,41470,22,0.530503979
13,28,013,Güémez,15032,12,0.798296966
14,28,014,Guerrero,3803,0,0
15,28,015,Gustavo Díaz Ordaz,15677,7,0.446514001
16,28,016,Hidalgo,17012,67,3.938396426
17,28,017,Jaumave,15994,83,5.189446042
18,28,018,Jiménez,6375,10,1.568627451
19,28,019,Llera,14645,19,1.297371116
20,28,020,Mainero,2048,3,1.46484375
21,28,021,El Mante,106144,820,7.725354236
22,28,022,Matamoros,541979,1116,2.059120372
23,28,023,Méndez,4280,3,0.700934579
24,28,024,Mier,6385,8,1.25293657
25,28,025,Miguel Alemán,26237,160,6.098258185
26,28,026,Miquihuana,3704,4,1.079913607
27,28,027,Nuevo Laredo,425058,929,2.185584085
28,28,028,Nuevo Morelos,3810,4,1.049868766
29,28,029,Ocampo,13190,11,0.833965125
30,28,030,Padilla,13618,21,1.542076663
31,28,031,Palmillas,1917,5,2.608242045
32,28,032,Reynosa,704767,1895,2.688831912
33,28,033,Río Bravo,132484,135,1.018990972
34,28,034,San Carlos,7411,55,7.421400621
35,28,035,San Fernando,51405,130,2.528936874
36,28,036,San Nicolás,926,2,2.159827214
37,28,037,Soto la Marina,23673,72,3.041439615
38,28,038,Tampico,297562,1147,3.854658861
39,28,039,Tula,28230,106,3.754870705
40,28,040,Valle Hermoso,60055,45,0.74931313
41,28,041,Victoria,349688,2011,5.750840749
42,28,042,Villagrán,5361,6,1.11919418
43,28,043,Xicoténcatl,22229,36,1.619506051
8888,8888,8888,No Disponible,0,239,0
9999,9999,9999,Total Tamaulipas,3527735,10848,3.07506091
