id,CVE_ENT,CVE_MUN,municipio,poblaciÃ³n,enfermeras,tasa
1,32,1,Apozol,6260,6,0.958466454
2,32,2,Apulco,4942,4,0.809388911
3,32,3,Atolinga,2227,4,1.796138303
4,32,4,Benito Juárez,4493,5,1.112842199
5,32,5,Calera,45759,136,2.972092922
6,32,6,Cañitas de Felipe Pescador,8255,10,1.211387038
7,32,7,Concepción del Oro,12115,87,7.181180355
8,32,8,Cuauhtémoc,13466,10,0.74261102
9,32,9,Chalchihuites,10086,10,0.991473329
10,32,10,Fresnillo,240532,1161,4.826800592
11,32,11,Trinidad García de la Cadena,3362,3,0.892325996
12,32,12,Genaro Codina,8168,7,0.857002938
13,32,13,General Enrique Estrada,6644,2,0.30102348
14,32,14,General Francisco R. Murguía,20191,28,1.386756476
15,32,15,El Plateado de Joaquín Amaro,1579,4,2.533248892
16,32,16,General Pánfilo Natera,23526,18,0.765110941
17,32,17,Guadalupe,211740,879,4.151317654
18,32,18,Huanusco,4547,5,1.099626127
19,32,19,Jalpa,25296,105,4.15085389
20,32,20,Jerez,59910,292,4.873977633
21,32,21,Jiménez del Teul,4465,7,1.56774916
22,32,22,Juan Aldama,19749,67,3.392576839
23,32,23,Juchipila,12251,38,3.101787609
24,32,24,Loreto,53709,246,4.580237949
25,32,25,Luis Moya,13184,11,0.83434466
26,32,26,Mazapil,17774,33,1.856644537
27,32,27,Melchor Ocampo,2736,6,2.192982456
28,32,28,Mezquital del Oro,2451,1,0.407996736
29,32,29,Miguel Auza,23713,24,1.012103066
30,32,30,Momax,2446,3,1.226492232
31,32,31,Monte Escobedo,8683,10,1.151675688
32,32,32,Morelos,13207,8,0.605739381
33,32,33,Moyahua de Estrada,4530,5,1.103752759
34,32,34,Nochistlán de Mejía,27945,54,1.93236715
35,32,35,Noria de Ángeles,16284,13,0.798329649
36,32,36,Ojocaliente,44144,74,1.676332004
37,32,37,Pánuco,17557,12,0.683488067
38,32,38,Pinos,72241,131,1.813374676
39,32,39,Río Grande,64535,139,2.153869993
40,32,40,Sain Alto,21844,18,0.824024904
41,32,41,El Salvador,2509,6,2.391390992
42,32,42,Sombrerete,63665,110,1.727793921
43,32,43,Susticacán,1365,2,1.465201465
44,32,44,Tabasco,16588,33,1.98938992
45,32,45,Tepechitlán,8321,8,0.961422906
46,32,46,Tepetongo,6490,10,1.540832049
47,32,47,Teúl de González Ortega,5356,10,1.867064974
48,32,48,Tlaltenango de Sánchez Román,27302,109,3.992381511
49,32,49,Valparaíso,32467,73,2.248436874
50,32,50,Vetagrande,10276,9,0.87582717
51,32,51,Villa de Cos,34623,65,1.877364758
52,32,52,Villa García,19525,13,0.66581306
53,32,53,Villa González Ortega,13208,8,0.605693519
54,32,54,Villa Hidalgo,19446,15,0.771366862
55,32,55,Villanueva,31558,86,2.72514101
56,32,56,Zacatecas,149607,1954,13.06088619
57,32,57,Trancoso,20455,38,1.857736495
58,32,58,Santa María de la Paz,2767,2,0.722804481
8888,8888,8888,No Disponible,0,116,0
9999,9999,9999,Total Zacatecas,1622074,6343,3.910425788
